,state,participation_rate_sat_2017,evidence-based_reading_and_writing_2017,math_2017,total_score_2017,participation_rate_act_2017,english,math,reading,science,composite_2017,participation_rate_sat_2018,evidence-based_reading_and_writing_2018,math_2018,total_score_2018,participation_rate_act_2018,composite_2018,participation_rate_sat_2019,evidence-based_reading_and_writing_2019,math_2019,total_score_2019,participation_rate_act_2019,composite_2019
0,alabama,5,593,572,1165,100,18.9,18.4,19.7,19.4,19.2,6,595,571,1166,100,19.1,7.0,583,560,1143,100,18.9
1,alaska,38,547,533,1080,65,18.7,19.8,20.4,19.9,19.8,43,562,544,1106,33,20.8,41.0,556,541,1097,38,20.1
2,arizona,30,563,553,1116,62,18.6,19.8,20.1,19.8,19.7,29,577,572,1149,66,19.2,31.0,569,565,1134,73,19.0
3,arkansas,3,614,594,1208,100,18.9,19.0,19.7,19.5,19.4,5,592,576,1169,100,19.4,6.0,582,559,1141,100,19.3
4,california,53,531,524,1055,31,22.5,22.7,23.1,22.2,22.8,60,540,536,1076,27,22.7,63.0,534,531,1065,23,22.6
5,colorado,11,606,595,1201,100,20.1,20.3,21.2,20.9,20.8,100,519,506,1025,30,23.9,100.0,518,506,1024,27,23.8
6,connecticut,100,530,512,1041,31,25.5,24.6,25.6,24.6,25.2,100,535,519,1053,26,25.6,100.0,529,516,1046,22,25.5
7,delaware,100,503,492,996,18,24.1,23.4,24.8,23.6,24.1,100,505,492,998,17,23.8,100.0,499,486,985,13,24.1
8,district of columbia,100,482,468,950,32,24.4,23.5,24.9,23.5,24.2,92,497,480,977,32,23.6,94.0,495,480,975,32,23.5
9,florida,83,520,497,1017,73,19.0,19.4,21.0,19.4,19.8,56,550,549,1099,66,19.9,100.0,516,483,999,54,20.1
10,georgia,61,535,515,1050,55,21.0,20.9,22.0,21.3,21.4,70,542,522,1064,53,21.4,71.0,538,519,1058,49,21.4
11,hawaii,55,544,541,1085,90,17.8,19.2,19.2,19.3,19.0,56,480,530,1010,89,18.9,54.0,550,550,1100,80,19.0
12,idaho,93,513,493,1005,38,21.9,21.8,23.0,22.1,22.3,100,508,493,1001,36,22.3,100.0,505,488,993,31,22.5
13,illinois,9,559,556,1115,93,21.0,21.2,21.6,21.3,21.4,99,513,506,1019,43,23.9,100.0,509,504,1013,35,24.3
14,indiana,63,542,532,1074,35,22.0,22.4,23.2,22.3,22.6,63,542,532,1074,32,22.5,66.0,543,537,1080,29,22.5
15,iowa,2,641,635,1275,67,21.2,21.3,22.6,22.1,21.9,3,634,631,1265,68,21.8,3.0,622,622,1244,66,21.6
16,kansas,4,632,628,1260,73,21.1,21.3,22.3,21.7,21.7,4,633,631,1265,71,21.6,4.0,618,623,1241,72,21.2
17,kentucky,4,631,616,1247,100,19.6,19.4,20.5,20.1,20.0,4,630,618,1248,100,20.2,4.0,620,612,1232,100,19.8
18,louisiana,4,611,586,1198,100,19.4,18.8,19.8,19.6,19.5,4,615,595,1210,100,19.2,5.0,610,591,1200,100,18.8
19,maine,95,513,499,1012,8,24.2,24.0,24.8,23.7,24.3,99,512,501,1013,7,24.0,99.0,512,502,1013,6,24.3
20,maryland,69,536,52,1060,28,23.3,23.1,24.2,2.3,23.6,76,545,535,1080,31,22.5,82.0,535,523,1058,28,22.3
21,massachusetts,76,555,551,1107,29,25.4,25.3,25.9,24.7,25.4,80,562,563,1125,25,25.5,81.0,559,561,1120,21,25.5
22,michigan,100,509,495,1005,29,24.1,23.7,24.5,23.8,24.1,100,511,499,1011,22,24.2,100.0,507,496,1003,19,24.4
23,minnesota,3,644,651,1295,100,20.4,21.5,21.8,21.6,21.5,4,643,655,1298,99,21.3,4.0,636,648,1284,95,21.4
24,mississippi,2,634,607,1242,100,18.2,18.1,18.8,18.8,18.6,3,630,606,1236,100,18.6,3.0,628,608,1237,100,18.4
25,missouri,3,640,631,1271,100,19.8,19.9,20.8,20.5,20.4,4,633,629,1262,100,20.0,4.0,622,615,1236,82,20.8
26,montana,10,605,591,1196,100,19.0,20.2,21.0,20.5,20.3,10,606,592,1198,100,20.0,9.0,603,596,1199,100,19.8
27,nebraska,3,629,625,1253,84,20.9,20.9,21.9,21.5,21.4,3,629,623,1252,100,20.1,3.0,628,631,1260,100,20.0
28,nevada,26,563,553,1116,100,16.3,18.0,18.1,18.2,17.8,23,574,566,1140,100,17.7,20.0,580,576,1156,100,17.9
29,new hampshire,96,532,520,1052,18,25.4,25.1,26.0,24.9,25.5,96,535,528,1063,16,25.1,95.0,533,526,1059,14,25.0
30,new jersey,70,530,526,1056,34,23.8,23.8,24.1,23.2,23.9,82,547,547,1094,31,23.7,82.0,544,545,1090,25,24.2
31,new mexico,11,577,561,1138,66,18.6,19.4,20.4,20.0,19.7,16,552,540,1093,67,19.4,18.0,543,530,1073,63,19.3
32,new york,67,528,523,1052,31,23.8,24.0,24.6,23.9,24.2,79,534,534,1068,27,24.5,79.0,531,533,1064,22,24.5
33,north carolina,49,546,535,1081,100,17.8,19.3,19.6,19.3,19.1,52,554,543,1098,100,19.1,51.0,554,546,1100,100,19.0
34,north dakota,2,635,621,1256,98,19.0,20.4,20.5,20.6,20.3,2,640,643,1283,98,20.3,2.0,627,636,1263,96,19.9
35,ohio,12,578,570,1149,75,21.2,21.6,22.5,22.0,22.0,18,552,547,1099,100,20.3,19.0,550,548,1097,100,20.0
36,oklahoma,7,530,517,1047,100,18.5,18.8,20.1,19.6,19.4,8,541,521,1062,100,19.3,22.0,490,472,963,100,18.9
37,oregon,43,560,548,1108,40,21.2,21.5,22.4,21.7,21.8,48,564,553,1117,42,21.3,51.0,562,550,1112,42,21.1
38,pennsylvania,65,540,531,1071,23,23.4,23.4,24.2,23.3,23.7,70,547,539,1086,20,23.5,70.0,545,537,1082,17,23.6
39,rhode island,71,539,524,1062,21,24.0,23.3,24.7,23.4,24.0,97,513,505,1018,15,24.2,100.0,503,492,995,12,24.7
40,south carolina,50,543,521,1064,100,17.5,18.6,19.1,18.9,18.7,55,547,523,1070,100,18.3,68.0,526,504,1030,78,18.8
41,south dakota,3,612,603,1216,80,20.7,21.5,22.3,22.0,21.8,3,622,618,1240,77,21.9,3.0,633,635,1268,75,21.6
42,tennessee,5,623,604,1228,100,19.5,19.2,20.1,19.9,19.8,6,624,607,1231,100,19.6,7.0,618,602,1220,100,19.4
43,texas,62,513,507,1020,45,19.5,20.7,21.1,20.9,20.7,66,520,512,1032,45,20.7,68.0,515,507,1022,39,20.5
44,utah,3,624,614,1238,100,19.5,19.9,20.8,20.6,20.3,4,480,530,1010,100,20.4,4.0,614,615,1230,100,20.3
45,vermont,60,562,551,1114,29,23.3,23.1,24.4,23.2,23.6,64,565,554,1120,24,24.1,66.0,560,546,1106,20,24.1
46,virginia,65,561,541,1102,29,23.5,23.3,24.6,23.5,23.8,68,567,550,1117,24,23.9,68.0,567,551,1119,21,24.0
47,washington,64,541,534,1075,29,20.9,21.9,22.1,22.0,21.9,69,543,538,1081,24,22.2,70.0,539,535,1074,24,22.1
48,west virginia,14,558,528,1086,69,20.0,19.4,21.2,20.5,20.4,28,513,486,999,65,20.3,99.0,483,460,943,49,20.8
49,wisconsin,3,642,649,1291,100,19.7,20.4,20.6,20.9,20.5,3,641,653,1294,100,20.5,3.0,635,648,1283,100,20.3
50,wyoming,3,626,604,1230,100,19.4,19.8,20.8,20.6,20.2,3,633,625,1257,100,20.0,3.0,623,615,1238,100,19.8
